Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Source,Наличные_USD_Покупка,Наличные_USD_Продажа,Безналичные_USD_Покупка,Безналичные_USD_Продажа,Наличные_KZT_Покупка,Наличные_KZT_Продажа,Безналичные_KZT_Покупка,Безналичные_KZT_Продажа,Наличные_EUR_Покупка,Наличные_EUR_Продажа,Безналичные_EUR_Покупка,Безналичные_EUR_Продажа,Наличные_RUB_Покупка,Наличные_RUB_Продажа,Безналичные_RUB_Покупка,Безналичные_RUB_Продажа
2023-12-22,10.00,61 099.00,61 221.50,NBKR,,,,,,,,,,,,,,,,
2023-12-22,31.1035,187 160.00,189 967.50,NBKR,,,,,,,,,,,,,,,,
2023-12-22,100.00,591 444.00,609 187.50,NBKR,,,,,,,,,,,,,,,,
2023-12-25,100.00,597 662.50,615 592.50,NBKR,,,,,,,,,,,,,,,,
2023-12-25,10.00,61 722.00,61 845.50,NBKR,,,,,,,,,,,,,,,,
2023-12-25,31.1035,189 094.00,191 930.50,NBKR,,,,,,,,,,,,,,,,
2023-12-25,2.00,13 304.00,13 357.00,NBKR,,,,,,,,,,,,,,,,
2023-12-25,5.00,31 315.50,31 409.50,NBKR,,,,,,,,,,,,,,,,
2023-12-25,1.00,7 290.50,7 327.00,NBKR,,,,,,,,,,,,,,,,
2023-12-26,1.00,7 286.50,7 323.00,NBKR,,,,,,,,,,,,,,,,
2023-12-26,2.00,13 296.00,13 349.00,NBKR,,,,,,,,,,,,,,,,
2023-12-26,5.00,31 295.50,31 389.50,NBKR,,,,,,,,,,,,,,,,
2023-12-26,10.00,61 682.00,61 805.00,NBKR,,,,,,,,,,,,,,,,
2023-12-26,31.1035,188 969.50,191 804.00,NBKR,,,,,,,,,,,,,,,,
2023-12-26,100.00,597 261.50,615 179.00,NBKR,,,,,,,,,,,,,,,,
2023-12-27,31.1035,188 645.50,191 475.00,NBKR,,,,,,,,,,,,,,,,
2023-12-27,10.00,61 577.50,61 700.50,NBKR,,,,,,,,,,,,,,,,
2023-12-27,100.00,596 219.00,614 105.50,NBKR,,,,,,,,,,,,,,,,
2023-12-27,2.00,13 275.00,13 328.50,NBKR,,,,,,,,,,,,,,,,
2023-12-27,1.00,7 276.00,7 312.50,NBKR,,,,,,,,,,,,,,,,
2023-12-27,5.00,31 243.50,31 337.00,NBKR,,,,,,,,,,,,,,,,
2023-12-28,31.1035,189 919.00,192 767.50,NBKR,,,,,,,,,,,,,,,,
2023-12-28,10.00,61 987.50,62 111.50,NBKR,,,,,,,,,,,,,,,,
2023-12-28,100.00,600 314.00,618 323.00,NBKR,,,,,,,,,,,,,,,,
2023-12-28,2.00,13 357.00,13 410.00,NBKR,,,,,,,,,,,,,,,,
2023-12-28,1.00,7 317.00,7 353.50,NBKR,,,,,,,,,,,,,,,,
2023-12-28,5.00,31 448.50,31 543.00,NBKR,,,,,,,,,,,,,,,,
2023-12-29,1.00,7 344.50,7 381.50,NBKR,,,,,,,,,,,,,,,,
2023-12-29,2.00,13 412.50,13 466.00,NBKR,,,,,,,,,,,,,,,,
2023-12-29,5.00,31 589.00,31 683.50,NBKR,,,,,,,,,,,,,,,,
