Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
14.12.2015,31.1035,96 696.00,96 793.00,2015
14.12.2015,100.00,268 474.00,268 742.50,2015
13.12.2015,1.00,4 104.50,4 125.00,2015
13.12.2015,2.00,7 108.00,7 136.50,2015
13.12.2015,5.00,16 392.00,16 441.50,2015
13.12.2015,10.00,31 939.50,32 003.00,2015
13.12.2015,31.1035,96 582.50,96 679.00,2015
13.12.2015,100.00,268 108.00,268 376.00,2015
12.12.2015,1.00,4 104.50,4 125.00,2015
12.12.2015,2.00,7 108.00,7 136.50,2015
12.12.2015,5.00,16 392.00,16 441.50,2015
12.12.2015,10.00,31 939.50,32 003.00,2015
12.12.2015,31.1035,96 582.50,96 679.00,2015
12.12.2015,100.00,268 108.00,268 376.00,2015
11.12.2015,1.00,4 104.50,4 125.00,2015
11.12.2015,2.00,7 108.00,7 136.50,2015
11.12.2015,5.00,16 392.00,16 441.00,2015
11.12.2015,10.00,31 939.00,32 003.00,2015
11.12.2015,31.1035,96 581.00,96 677.50,2015
11.12.2015,100.00,268 103.50,268 371.50,2015
10.12.2015,1.00,4 129.00,4 149.50,2015
10.12.2015,2.00,7 157.00,7 185.50,2015
10.12.2015,5.00,16 514.50,16 564.50,2015
10.12.2015,10.00,32 184.50,32 249.00,2015
10.12.2015,31.1035,97 343.50,97 441.00,2015
10.12.2015,100.00,270 555.50,270 826.00,2015
09.12.2015,1.00,4 107.50,4 128.00,2015
09.12.2015,2.00,7 113.50,7 142.00,2015
09.12.2015,5.00,16 406.00,16 455.50,2015
09.12.2015,10.00,31 967.50,32 031.50,2015
09.12.2015,31.1035,96 669.00,96 766.00,2015
09.12.2015,100.00,268 388.00,268 656.00,2015
08.12.2015,1.00,4 116.00,4 136.50,2015
08.12.2015,2.00,7 131.00,7 159.50,2015
08.12.2015,5.00,16 449.50,16 498.50,2015
08.12.2015,10.00,32 054.00,32 118.00,2015
08.12.2015,31.1035,96 937.50,97 034.50,2015
08.12.2015,100.00,269 251.00,269 520.00,2015
07.12.2015,1.00,4 125.50,4 146.00,2015
07.12.2015,2.00,7 149.50,7 178.50,2015
07.12.2015,5.00,16 497.00,16 546.50,2015
07.12.2015,10.00,32 149.00,32 213.00,2015
