Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
08.12.2020,10.00,56 559.50,56 672.50,2020
08.12.2020,31.1035,173 042.00,175 637.50,2020
08.12.2020,100.00,510 443.50,525 757.00,2020
07.12.2020,1.00,6 505.50,6 538.00,2020
07.12.2020,2.00,11 910.00,11 957.50,2020
07.12.2020,5.00,28 472.00,28 557.50,2020
07.12.2020,10.00,56 098.50,56 211.00,2020
07.12.2020,31.1035,171 611.50,174 185.50,2020
07.12.2020,100.00,505 844.00,521 019.00,2020
04.12.2020,1.00,6 476.50,6 509.00,2020
04.12.2020,2.00,11 851.50,11 899.00,2020
04.12.2020,5.00,28 325.00,28 410.00,2020
04.12.2020,10.00,55 805.00,55 916.50,2020
04.12.2020,31.1035,170 699.00,173 259.50,2020
04.12.2020,100.00,502 911.00,517 998.00,2020
03.12.2020,1.00,6 450.00,6 482.50,2020
03.12.2020,2.00,11 799.00,11 846.50,2020
03.12.2020,5.00,28 193.00,28 277.50,2020
03.12.2020,10.00,55 541.00,55 652.50,2020
03.12.2020,31.1035,169 880.00,172 428.00,2020
03.12.2020,100.00,500 277.50,515 286.00,2020
02.12.2020,1.00,6 418.00,6 450.00,2020
02.12.2020,2.00,11 735.00,11 782.00,2020
02.12.2020,5.00,28 031.50,28 115.50,2020
02.12.2020,10.00,55 218.00,55 328.50,2020
02.12.2020,31.1035,168 876.00,171 409.50,2020
02.12.2020,100.00,497 050.50,511 962.00,2020
01.12.2020,1.00,6 287.00,6 318.50,2020
01.12.2020,2.00,11 473.00,11 519.00,2020
01.12.2020,5.00,27 372.50,27 455.00,2020
01.12.2020,10.00,53 900.50,54 008.00,2020
01.12.2020,31.1035,164 784.00,167 256.00,2020
01.12.2020,100.00,483 895.00,498 411.50,2020
30.11.2020,1.00,6 332.50,6 364.50,2020
30.11.2020,2.00,11 564.00,11 610.50,2020
30.11.2020,5.00,27 601.50,27 684.50,2020
30.11.2020,10.00,54 358.50,54 467.00,2020
30.11.2020,31.1035,166 206.50,168 700.00,2020
30.11.2020,100.00,488 468.00,503 122.00,2020
27.11.2020,1.00,6 409.00,6 441.00,2020
27.11.2020,2.00,11 716.50,11 763.50,2020
27.11.2020,5.00,27 985.50,28 069.50,2020
27.11.2020,10.00,55 126.00,55 236.50,2020
27.11.2020,31.1035,168 590.50,171 119.50,2020
27.11.2020,100.00,496 132.50,511 016.50,2020
26.11.2020,1.00,6 416.50,6 448.50,2020
26.11.2020,2.00,11 732.00,11 779.00,2020
26.11.2020,5.00,28 024.00,28 108.00,2020
26.11.2020,10.00,55 203.00,55 313.50,2020
26.11.2020,31.1035,168 830.00,171 362.50,2020
26.11.2020,100.00,496 901.50,511 808.50,2020
25.11.2020,1.00,6 387.50,6 419.00,2020
25.11.2020,2.00,11 673.50,11 720.00,2020
25.11.2020,5.00,27 876.50,27 960.00,2020
25.11.2020,10.00,54 908.00,55 017.50,2020
25.11.2020,31.1035,167 913.00,170 431.50,2020
25.11.2020,100.00,493 954.00,508 772.50,2020
24.11.2020,1.00,6 498.00,6 530.50,2020
24.11.2020,2.00,11 894.50,11 942.00,2020
24.11.2020,5.00,28 432.50,28 518.00,2020
24.11.2020,10.00,56 020.50,56 132.50,2020
24.11.2020,31.1035,171 368.00,173 938.50,2020
24.11.2020,100.00,505 061.50,520 213.50,2020
23.11.2020,1.00,6 594.00,6 627.00,2020
23.11.2020,2.00,12 087.00,12 135.50,2020
23.11.2020,5.00,28 917.50,29 004.00,2020
23.11.2020,10.00,56 990.00,57 103.50,2020
23.11.2020,31.1035,174 378.50,176 994.00,2020
23.11.2020,100.00,514 740.50,530 182.50,2020
20.11.2020,1.00,6 543.50,6 576.00,2020
20.11.2020,2.00,11 985.50,12 033.50,2020
20.11.2020,5.00,28 662.50,28 748.50,2020
20.11.2020,10.00,56 480.00,56 593.00,2020
20.11.2020,31.1035,172 795.00,175 387.00,2020
20.11.2020,100.00,509 649.50,524 939.00,2020
19.11.2020,1.00,6 594.00,6 627.00,2020
19.11.2020,2.00,12 086.50,12 134.50,2020
19.11.2020,5.00,28 915.50,29 002.00,2020
19.11.2020,10.00,56 986.00,57 100.00,2020
19.11.2020,31.1035,174 366.50,176 982.00,2020
19.11.2020,100.00,514 702.00,530 143.00,2020
18.11.2020,1.00,6 630.50,6 663.50,2020
18.11.2020,2.00,12 160.00,12 208.50,2020
18.11.2020,5.00,29 100.50,29 188.00,2020
18.11.2020,10.00,57 356.00,57 471.00,2020
18.11.2020,31.1035,175 516.50,178 149.00,2020
18.11.2020,100.00,518 398.50,533 950.50,2020
17.11.2020,1.00,6 621.00,6 654.50,2020
17.11.2020,2.00,12 141.00,12 189.50,2020
17.11.2020,5.00,29 053.50,29 140.50,2020
17.11.2020,10.00,57 262.00,57 376.50,2020
17.11.2020,31.1035,175 224.00,177 852.00,2020
17.11.2020,100.00,517 458.00,532 982.00,2020
16.11.2020,1.00,6 635.50,6 669.00,2020
16.11.2020,2.00,12 170.00,12 218.50,2020
16.11.2020,5.00,29 126.00,29 213.00,2020
16.11.2020,10.00,57 406.50,57 521.50,2020
16.11.2020,31.1035,175 673.50,178 308.50,2020
16.11.2020,100.00,518 903.00,534 470.00,2020
13.11.2020,1.00,6 574.50,6 607.50,2020
13.11.2020,2.00,12 048.00,12 096.00,2020
13.11.2020,5.00,28 818.50,28 905.00,2020
13.11.2020,10.00,56 792.50,56 906.00,2020
13.11.2020,31.1035,173 765.50,176 372.00,2020
13.11.2020,100.00,512 769.00,528 152.00,2020
12.11.2020,1.00,6 513.50,6 546.00,2020
12.11.2020,2.00,11 926.00,11 973.50,2020
12.11.2020,5.00,28 512.00,28 597.50,2020
12.11.2020,10.00,56 179.50,56 292.00,2020
12.11.2020,31.1035,171 862.00,174 440.00,2020
12.11.2020,100.00,506 649.50,521 849.00,2020
11.11.2020,1.00,6 543.50,6 576.00,2020
11.11.2020,2.00,11 985.50,12 033.50,2020
11.11.2020,5.00,28 661.50,28 747.50,2020
11.11.2020,10.00,56 478.50,56 591.50,2020
11.11.2020,31.1035,172 791.00,175 382.50,2020
11.11.2020,100.00,509 636.00,524 925.00,2020
06.11.2020,1.00,6 703.00,6 736.50,2020
06.11.2020,2.00,12 304.50,12 354.00,2020
06.11.2020,5.00,29 465.00,29 553.50,2020
06.11.2020,10.00,58 085.00,58 201.00,2020
06.11.2020,31.1035,177 779.50,180 446.00,2020
06.11.2020,100.00,525 674.50,541 444.50,2020
05.11.2020,1.00,6 605.00,6 638.00,2020
05.11.2020,2.00,12 108.50,12 157.00,2020
05.11.2020,5.00,28 971.50,29 058.50,2020
05.11.2020,10.00,57 098.00,57 212.00,2020
05.11.2020,31.1035,174 714.00,177 335.00,2020
05.11.2020,100.00,515 819.00,531 294.00,2020
04.11.2020,1.00,6 615.50,6 648.50,2020
