Дата,Kyrgyz_Altyn_Slitok_1_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_1_Цена_продажи,Kyrgyz_Altyn_Slitok_2_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_2_Цена_продажи,Kyrgyz_Altyn_Slitok_5_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_5_Цена_продажи,Kyrgyz_Altyn_Slitok_10_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_10_Цена_продажи,Kyrgyz_Altyn_Slitok_20_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_20_Цена_продажи,Kyrgyz_Altyn_Slitok_31_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_31_Цена_продажи,Kyrgyz_Altyn_Slitok_50_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_50_Цена_продажи,Kyrgyz_Altyn_Slitok_100_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_100_Цена_продажи,Kyrgyz_Altyn_Slitok_1000_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_1000_Цена_продажи,NBKR_Slitok_1_Цена_обратного_выкупа,NBKR_Slitok_1_Цена_продажи,NBKR_Slitok_2_Цена_обратного_выкупа,NBKR_Slitok_2_Цена_продажи,NBKR_Slitok_5_Цена_обратного_выкупа,NBKR_Slitok_5_Цена_продажи,NBKR_Slitok_10_Цена_обратного_выкупа,NBKR_Slitok_10_Цена_продажи,NBKR_Slitok_31_Цена_обратного_выкупа,NBKR_Slitok_31_Цена_продажи,NBKR_Slitok_100_Цена_обратного_выкупа,NBKR_Slitok_100_Цена_продажи,Optima_Покупка_EUR_Безналичные,Optima_Покупка_KZT_Безналичные,Optima_Покупка_RUB_Безналичные,Optima_Покупка_USD_Безналичные,Optima_Продажа_EUR_Безналичные,Optima_Продажа_KZT_Безналичные,Optima_Продажа_RUB_Безналичные,Optima_Продажа_USD_Безналичные
2024-12-17,8724.0,8767.5,16250.0,16315.0,38805.0,38921.5,75957.5,76109.0,150882.5,153146.0,233408.0,236909.5,374187.0,385413.0,745879.5,768256.0,7601084.0,7646690.5,8810.5,8854.5,16344.0,16409.0,38963.0,39080.0,76147.0,76299.0,233612.0,237116.5,746271.5,768659.5,91.0,0.116,0.83,86.85,92.0,0.182,0.86,87.35
2024-12-16,,,,,,,,,,,,,,,,,,,8820.5,8864.5,16364.0,16429.5,39014.0,39131.0,76248.5,76401.0,233928.0,237436.5,747286.0,769704.5,,,,,,,,
2024-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-14,8734.0,8777.5,16270.0,16335.0,38856.0,38972.5,76059.0,76211.0,151085.5,153352.0,233723.5,237229.5,374694.5,385935.5,746894.0,769301.0,7611229.5,7656897.0,,,,,,,,,,,,,,0.116,,86.85,,0.182,,87.35
2024-12-13,8791.0,8835.0,16383.5,16449.0,39142.0,39259.5,76631.0,76784.5,152228.0,154511.5,235500.5,239033.0,377551.5,388878.0,752606.0,775184.5,7668351.0,7714361.0,8877.5,8921.5,16478.0,16543.5,39300.0,39417.5,76820.5,76974.5,235704.5,239240.0,752998.0,775588.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-12,8849.5,8894.0,16501.0,16567.0,39437.0,39555.0,77221.0,77375.0,153405.5,155707.0,237332.0,240892.0,380496.5,391911.5,758494.5,781249.0,7727233.0,7773596.5,8936.0,8980.5,16595.0,16661.5,39594.5,39713.5,77410.5,77565.0,237536.0,241099.0,758886.0,781653.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-11,8805.5,8849.5,16413.0,16478.5,39215.5,39333.0,76777.5,76931.0,152520.5,154808.5,235955.5,239495.0,378283.5,389632.0,754069.5,776691.5,7682984.5,7729082.0,8892.0,8936.5,16507.0,16573.0,39373.0,39491.0,76967.0,77121.0,236159.5,239702.0,754461.5,777095.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-10,8756.5,8800.0,16314.5,16380.0,38968.0,39085.0,76283.0,76435.5,151533.0,153806.0,234420.0,237936.0,375814.0,387088.5,749132.0,771605.5,7633607.5,7679409.0,8842.5,8887.0,16408.5,16474.0,39126.0,39243.0,76472.5,76625.5,234624.0,238143.0,749523.5,772009.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-09,,,,,,,,,,,,,,,,,,,8746.5,8790.5,16216.5,16281.5,38642.5,38758.0,75505.5,76020.5,231620.5,235095.0,739868.0,762064.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
